news source,time,category,title,link,summary
Baotintuc.vn,15/06/2023 13:34,Chính trị,"Lực lượng CAND phát huy vai trò 'gương mẫu, đi đầu' trong xây dựng, chỉnh đốn Đảng ",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6785782,
Baotintuc.vn,2 giờ trước,Chính trị,"Thủ tướng Phạm Minh Chính thăm gia đình chính sách tại Châu Đốc, An Giang ",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6789328,"Trong chuyến thăm và làm việc tại tỉnh An Giang, sáng 17/6/2023, Thủ tướng Phạm Minh Chính đến thăm gia đình chính sách tại thành phố Châu Đốc, An Giang."
Baotintuc.vn,3 giờ trước,Chính trị,"Chủ tịch nước thăm và làm việc tại huyện đảo Phú Quý, Bình Thuận",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6789271,"Trong chương trình công tác tại Bình Thuận, sáng sớm 17/6, Chủ tịch nước Võ Văn Thưởng dự Lễ chào cờ tại Cột cờ chủ quyền Tổ quốc trên đảo Phú Quý - huyện đảo xa của tỉnh Bình Thuận, cách thành phố Phan Thiết 56 hải lý về phía Đông Nam."
Baotintuc.vn,10 giờ trước,Chính trị,Đoàn Đại biểu cấp cao Quốc hội Bờ Biển Ngà kết thúc tốt đẹp chuyến thăm chính thức Việt Nam,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6788858,"Ngày 16/6, Đoàn Đại biểu cấp cao Quốc hội Bờ Biển Ngà (Côte d'Ivoire) do Chủ tịch Quốc hội Adama Bictogo làm Trưởng đoàn, đã rời thủ đô Hà Nội, kết thúc tốt đẹp chuyến thăm chính thức Việt Nam từ ngày 13-16/6, theo lời mời của Chủ tịch Quốc hội Vương Đình Huệ."
Baotintuc.vn,15/06/2023 13:05,Chính trị,Ủy ban Thường vụ Quốc hội cho ý kiến về 7 dự thảo nghị quyết,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6785765,"Sáng 15/6, dưới sự chủ trì của Chủ tịch Quốc hội Vương Đình Huệ, Ủy ban Thường vụ Quốc hội tiếp tục phiên họp nhằm cho ý kiến về một số vấn đề lớn cần giải trình, tiếp thu, chỉnh lý, hoàn thiện đối với các dự thảo Nghị quyết dự kiến được Quốc hội thông qua tại Kỳ họp thứ 5."
Baotintuc.vn,15/06/2023 10:16,Chính trị,"Tăng cường bảo vệ nền tảng tư tưởng của Đảng, đấu tranh phản bác các quan điểm sai trái, thù địch trong tình hình mới",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6785460,"Thực hiện Nghị quyết số 35-NQ/TW ngày 25/10/2018 của Bộ Chính trị khóa XII về “tăng cường bảo vệ nền tảng tư tưởng của Đảng, đấu tranh phản bác các quan điểm sai trái, thù địch trong tình hình mới”, Đảng bộ Đài Tiếng nói Việt Nam đã có nhiều giải pháp, biện pháp quyết liệt, đấu tranh ngăn chặn có hiệu quả với các biểu hiện sai trái, góp phần tích cực bảo vệ nền tảng tư tưởng của Đảng."
Baotintuc.vn,14/06/2023 12:43,Chính trị,Thủ tướng Phạm Minh Chính tiếp Bộ trưởng Ngoại giao UAE,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6783876,"Sáng 14/6/2023, tại Hà Nội, Thủ tướng Phạm Minh Chính tiếp Bộ trưởng Ngoại giao Các Tiểu vương quốc Arab thống nhất (UAE) Sheikh Abdullah bin Zayed Al Nahyan."
Baotintuc.vn,14/06/2023 11:43,Chính trị,"Chủ tịch Quốc hội Vương Đình Huệ đón, hội đàm với Chủ tịch Quốc hội Bờ Biển Ngà",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6783763,"Sáng 14/6/2023, tại Nhà Quốc hội, Chủ tịch Quốc hội Vương Đình Huệ đón và hội đàm với Chủ tịch Quốc hội Bờ Biển Ngà (Côte d'Ivoire) Adama Bictogo thăm chính thức Việt Nam từ ngày 13 đến 16/6."
Baotintuc.vn,13/06/2023 20:59,Chính trị,Tham khảo Chính trị Việt Nam - Thái Lan lần thứ 9,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6782968,"Thực hiện thỏa thuận giữa hai Bộ Ngoại giao, ngày 13/6, tại Nhà khách Chính phủ, Thứ trưởng Ngoại giao Đỗ Hùng Việt và Thứ trưởng Thường trực Bộ Ngoại giao Thái Lan Sarun Charoensuwan đã đồng chủ trì kỳ họp lần thứ 9 Tham khảo Chính trị Việt Nam - Thái Lan."
Baotintuc.vn,12/06/2023 21:44,Chính trị,Thúc đẩy quan hệ Đối tác chiến lược tăng cường Việt Nam - Thái Lan,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6781195,"Ngày 12/6, tại Hà Nội, Bộ trưởng Ngoại giao Bùi Thanh Sơn đã tiếp Thứ trưởng Thường trực Bộ Ngoại giao Thái Lan Sarun Charoensuwan nhân dịp Thứ trưởng thăm Việt Nam và đồng chủ trì Kỳ họp lần thứ 9 Tham khảo chính trị Việt Nam - Thái Lan."
